BASE_YEAR,AGE_DC,VIS_CNT,PYEAR_VALUE
2016,10대,1734000,
2016,20대,4218000,
2016,30대,5661000,
2016,40대,5509000,
2016,50대,4308000,
2016,60대,2476000,
2017,10대,1719000,-0.8
2017,20대,4457000,5.7
2017,30대,5670000,0.1
2017,40대,5606000,1.8
2017,50대,4557000,5.8
2017,60대,2760000,11.4
2018,10대,1530000,-11
2018,20대,4280000,-4
2018,30대,5617000,-0.9
2018,40대,5736000,2.3
2018,50대,4933000,8.3
2018,60대,3347000,21.3
2019,10대,1545000,1.0
2019,20대,4017000,-6.1
2019,30대,5316000,-5.4
2019,40대,5758000,0.4
2019,50대,4961000,0.6
2019,60대,3742000,11.8
2020,10대,934000,-39.5
2020,20대,2880000,-28.3
2020,30대,3689000,-30.6
2020,40대,4160000,-27.8
2020,50대,3591000,-27.6
2020,60대,2835000,-24.2
