BASE_YEAR,SIDO_DC,VIS_CNT,PYEAR_VALUE
2016,강원도,297000,
2016,경기도,3172000,
2016,경상남도,7448000,
2016,경상북도,1182000,
2016,광주광역시,254000,
2016,대구광역시,1920000,
2016,대전광역시,351000,
2016,서울특별시,2639000,
2016,세종특별자치시,157000,
2016,울산광역시,3215000,
2016,인천광역시,1237000,
2016,전라남도,647000,
2016,전라북도,283000,
2016,제주특별자치도,286000,
2016,충청남도,524000,
2016,충청북도,294000,
2017,강원도,409000,37.7
2017,경기도,3342000,5.4
2017,경상남도,7461000,0.2
2017,경상북도,1403000,18.7
2017,광주광역시,253000,-0.4
2017,대구광역시,1992000,3.8
2017,대전광역시,347000,-1.2
2017,서울특별시,2902000,10
2017,세종특별자치시,153000,-3.4
2017,울산광역시,3257000,1.3
2017,인천광역시,1031000,-16.6
2017,전라남도,639000,-1.2
2017,전라북도,357000,26.1
2017,제주특별자치도,330000,15.6
2017,충청남도,571000,8.8
2017,충청북도,322000,9.5
2018,강원도,356000,-13
2018,경기도,2850000,-14.7
2018,경상남도,8107000,8.7
2018,경상북도,1381000,-1.5
2018,광주광역시,251000,-0.6
2018,대구광역시,2123000,6.5
2018,대전광역시,389000,12.2
2018,서울특별시,3026000,4.3
2018,세종특별자치시,183000,19.6
2018,울산광역시,3660000,12.4
2018,인천광역시,985000,-4.5
2018,전라남도,676000,5.9
2018,전라북도,289000,-19.1
2018,제주특별자치도,345000,4.3
2018,충청남도,533000,-6.6
2018,충청북도,289000,-10.1
2019,강원,337000,-5.3
2019,경기,3483000,22.2
2019,경남,7966000,-1.7
2019,경북,1339000,-3
2019,광주,236000,-6
2019,대구,1928000,-9.2
2019,대전,372000,-4.4
2019,서울,2976000,-1.7
2019,세종,188000,2.7
2019,울산,3205000,-12.4
2019,인천,1107000,12.4
2019,전남,583000,-13.8
2019,전북,336000,16.3
2019,제주,428000,24.1
2019,충남,555000,4.1
2019,충북,301000,4.2
2020,강원,22800,-32.3
2020,경기,247600,-28.9
2020,경남,619600,-22.2
2020,경북,96000,-28.3
2020,광주,14500,-38.6
2020,대구,139100,-27.9
2020,대전,24600,-33.9
2020,서울,216200,-27.4
2020,세종,13700,-27.1
2020,울산,239200,-25.4
2020,인천,42100,-62
2020,전남,38300,-34.3
2020,전북,20900,-37.8
2020,제주,16800,-60.7
2020,충남,38400,-30.8
2020,충북,19200,-36.2
